,1,34,20,188,(0 0),(4 0),(-1 -1),(5 2),(0 2),(0 7),(0 17),(2 5),(0 5),(0 11),(2 6),(4 7),(0 15),(4 9),(5 10),0.275
,1,31,18,180,(0 0),(5 0),(-1 -1),(0 2),(2 8),(1 2),(0 11),(1 6),(4 6),(0 14),(2 7),(0 7),(0 9),(5 8),(5 13),0.322
,1,32,19,183,(0 0),(5 0),(1 3),(0 2),(1 2),(-1 -1),(0 14),(3 7),(3 8),(2 10),(5 6),(1 7),(0 17),(0 8),(1 10),0.268
,1,32,20,184,(1 0),(0 0),(-1 -1),(5 2),(1 2),(1 16),(1 13),(0 5),(3 5),(2 7),(2 6),(0 6),(1 11),(0 8),(0 13),0.283
,0,63,20,146,(0 0),(4 0),(0 2),(5 2),(0 9),(0 14),(0 6),(3 9),(0 10),(2 10),(5 7),(0 12),(0 18),(5 14),(4 14),0.283
,0,63,20,146,(0 0),(5 0),(0 10),(0 2),(3 9),(1 2),(1 6),(0 9),(4 10),(0 14),(0 7),(4 12),(0 18),(5 14),(4 14),0.293
,1,30,18,178,(0 0),(5 0),(1 2),(0 2),(3 8),(-1 -1),(0 15),(1 6),(1 7),(1 11),(0 7),(4 6),(1 9),(0 8),(5 11),0.295
,1,30,18,178,(0 0),(4 0),(0 2),(5 2),(0 8),(-1 -1),(0 15),(2 6),(3 7),(0 11),(2 7),(0 6),(0 9),(5 8),(4 11),0.28
,0,65,20,150,(0 0),(4 0),(2 16),(5 2),(3 9),(0 2),(0 6),(0 9),(0 18),(0 10),(5 7),(0 16),(0 14),(5 10),(4 10),0.305
,1,32,20,184,(0 0),(4 0),(2 11),(5 2),(0 2),(-1 -1),(0 17),(0 5),(3 5),(2 7),(2 6),(0 6),(0 15),(0 8),(1 10),0.299
,0,63,20,146,(0 0),(4 0),(2 14),(5 2),(3 9),(0 2),(0 6),(0 9),(0 10),(2 10),(5 7),(0 12),(1 18),(0 14),(1 14),0.263
,1,34,18,186,(0 0),(4 0),(2 10),(5 2),(0 7),(0 2),(-1 -1),(0 6),(3 6),(0 14),(5 7),(4 14),(1 8),(0 8),(1 10),0.307
,1,32,20,184,(2 0),(1 0),(0 7),(0 2),(2 2),(-1 -1),(0 17),(3 5),(1 5),(0 11),(3 6),(4 6),(0 15),(4 8),(5 10),0.271
,1,32,19,183,(0 0),(4 0),(-1 -1),(5 2),(2 6),(0 2),(0 16),(2 7),(0 10),(0 12),(5 7),(0 6),(0 8),(5 8),(4 10),0.253
