,1,9,10,128,(4 1),(6 0),(-1 -1),(0 0),(8 0),(0 1),(9 4),(4 5),(0 2),(2 2),(4 3),(0 5),(0 9),(0 7),0.287
,1,8,10,126,(4 1),(10 0),(6 0),(0 0),(-1 -1),(0 1),(9 5),(4 4),(4 2),(2 2),(0 3),(0 5),(0 7),(0 8),0.28
,1,10,9,129,(9 0),(10 4),(0 0),(4 0),(4 1),(8 1),(0 4),(-1 -1),(10 2),(8 2),(5 5),(3 5),(3 7),(7 7),0.284
,1,10,9,129,(9 0),(10 4),(0 0),(4 0),(4 1),(8 1),(0 4),(-1 -1),(10 2),(8 2),(3 5),(5 5),(3 7),(7 7),0.254
,1,9,10,128,(0 0),(4 0),(-1 -1),(6 0),(6 1),(0 1),(9 5),(4 5),(0 2),(2 2),(10 3),(0 5),(0 7),(0 8),0.296
,1,8,10,126,(4 1),(6 0),(-1 -1),(0 0),(8 0),(0 1),(9 4),(4 5),(0 2),(2 2),(4 3),(0 5),(0 7),(0 8),0.285
,1,9,10,128,(0 0),(2 0),(-1 -1),(4 0),(8 1),(4 1),(9 5),(4 5),(6 2),(0 2),(4 3),(2 5),(0 7),(0 8),0.256
,1,8,10,126,(6 1),(0 0),(-1 -1),(2 0),(8 0),(2 1),(9 4),(4 5),(4 2),(2 2),(6 3),(0 5),(0 7),(0 8),0.408
,1,9,10,128,(7 0),(0 0),(4 1),(2 0),(-1 -1),(8 1),(5 5),(0 5),(10 2),(8 2),(2 3),(10 5),(8 7),(8 8),0.286
,1,10,10,130,(0 0),(2 0),(-1 -1),(4 0),(8 1),(4 1),(9 5),(4 5),(4 2),(0 2),(6 3),(2 5),(0 9),(0 7),0.265
,1,12,10,134,(0 0),(2 0),(6 6),(4 0),(-1 -1),(7 1),(4 1),(7 2),(0 2),(4 6),(0 4),(2 5),(0 7),(0 8),0.257
,1,9,10,128,(0 0),(4 0),(-1 -1),(6 0),(6 1),(0 1),(4 5),(7 5),(0 2),(2 2),(10 3),(0 5),(0 7),(0 8),0.328
,1,10,9,129,(4 0),(8 2),(0 0),(6 0),(4 1),(8 1),(0 4),(-1 -1),(10 2),(3 5),(10 4),(5 5),(8 7),(5 7),0.257
,1,8,10,126,(6 1),(0 0),(8 0),(2 0),(-1 -1),(2 1),(9 4),(4 5),(4 2),(2 2),(6 3),(0 5),(0 7),(0 8),0.333
